id,title,state,created_at,updated_at,closed_at,body,user,url
I_kwDOFJn1tM5Uv92M,Network speed,OPEN,2022-10-25T05:08:34Z,2022-10-25T05:08:34Z,,📶,Mrmahed,https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/issues/12
I_kwDOFJn1tM5gf_uz,Help,OPEN,2023-03-10T13:42:28Z,2023-05-27T02:56:02Z,,,Godstone08,https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/issues/13
I_kwDOFJn1tM5hyOdM,Crack is founded,OPEN,2023-03-25T15:28:42Z,2023-05-27T02:54:35Z,,Struggle is affected,Ajboss78,https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/issues/14
I_kwDOFJn1tM5tb-ZS,"(i)Nokia G300 N1374DL
(ii)SafeLinkWirelessserver.com
+1(619)630-6536 
(iii)Reissue$3O CompX Nationals (PSRT.M.I.T.USA(C346-C415A-215)* (X)SCHLAGES.PRIMUS-LO3158 ABA NORTHAMERICANBANKSASSOCIATIONS.COM(4-6-13-)SPAIÑEVENTS@MAPS.COM                                        (EXE)FILE.ORG KW10_USA l.                 (V) HSVRFH75 USAl,  
(©)SDEFIANT 25341 
(&)HILLMAN 66_KW1MX
(NINE9) SECLORUM LLC
(TIN)CS#0730604639107
(EAN) GOOGLE PLAY (12)1SFO3JFK60RD9ATL
(13)PeterMiranda CAID EXP 08/30/2028
D1268381 223320901 
DD 11/28/2022(4)61318/AAFD/28
PM82083082
SIGNATURE PM ®
(14)SOCIALSECURITYADMINISTRATIONthis number has been established for PETER MIRANDA USA 12/12/2022
FORM SSA 3000(08-2011) H67567233
",OPEN,2023-08-04T04:36:24Z,2023-08-04T04:36:24Z,,Owubrvxjowo927,Peter-Miranda,https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/issues/15
I_kwDOFJn1tM5xtHqf,How to convert target sdk version witout androud studio sdk 30 to 33 ,OPEN,2023-09-21T19:48:36Z,2023-09-21T19:48:36Z,,,hussenm,https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/issues/18
I_kwDOFJn1tM5x3CAv,I,CLOSED,2023-09-24T14:18:08Z,2023-09-24T14:18:54Z,2023-09-24T14:18:26Z,,techeor,https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/issues/19
I_kwDOFJn1tM515VfJ,Dd,OPEN,2023-11-05T21:07:09Z,2023-11-05T21:07:09Z,,,Ninmar23,https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/issues/20
I_kwDOFJn1tM52byd5,"Screenshot (Nov 9, 2023 10:22:55 PM)",OPEN,2023-11-10T06:24:21Z,2023-11-10T06:24:21Z,,"![Screenshot_20231109-222255.png](https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/assets/138858261/8d70335f-a98a-4a51-97d6-4803843f8c1a)

",Peter-Miranda,https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/issues/21
I_kwDOFJn1tM53dinv,How fast,OPEN,2023-11-21T12:58:01Z,2023-11-21T12:58:01Z,,,badergithub,https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/issues/22
I_kwDOFJn1tM57e6Y4,Homehub shourcuts,OPEN,2024-01-09T06:17:43Z,2024-01-09T06:17:43Z,,,Georgiagain32,https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/issues/23
I_kwDOFJn1tM5-qFTB,Use TalkBack gestures,OPEN,2024-02-08T11:29:48Z,2024-07-26T05:54:31Z,,https://support.google.com/accessibility/android/answer/6151827?sjid=13988910666610060173-AP,Peegords,https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/issues/24
I_kwDOFJn1tM6GLeeI,https://github.com/green-chain,CLOSED,2024-04-18T16:56:01Z,2024-04-18T18:54:07Z,2024-04-18T18:54:06Z,,Lxc888666,https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/issues/27
I_kwDOFJn1tM6c9ycy,Fix Data Export Bug,OPEN,2024-11-04T17:43:48Z,2024-11-04T17:43:48Z,,,theVanshitgaur,https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/issues/31
I_kwDOFJn1tM6jfnZv,Resume,OPEN,2024-12-16T17:26:12Z,2024-12-16T17:26:12Z,,,Alifa667,https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/issues/32
