pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url,file_name
PR_kwDOGdK4u85mpHdw,Update gaan.py,MERGED,2024-02-12T14:30:39Z,2024-02-28T14:54:28Z,2024-02-28T14:54:25Z,2024-02-28T14:54:25Z,adamjohnwright,https://github.com/AgBioData/Genome-Assembly-and-Annotation-Nomenclature_WG/pull/1,AgBioData++Genome-Assembly-and-Annotation-Nomenclature_WG.csv
MDExOlB1bGxSZXF1ZXN0MTMxMDkwMjEx,Updated cdd2cog.pl to work with 2014 version of COG,OPEN,2017-07-18T13:42:08Z,2017-07-18T13:42:08Z,,,embatty,https://github.com/aleimba/bac-genomics-scripts/pull/5,aleimba++bac-genomics-scripts.csv
MDExOlB1bGxSZXF1ZXN0MzUwMDQ0NDUz,Added output_file option to cdd2cog,OPEN,2019-12-06T15:29:08Z,2019-12-06T15:32:28Z,,,iquasere,https://github.com/aleimba/bac-genomics-scripts/pull/12,aleimba++bac-genomics-scripts.csv
PR_kwDOIAq_1s56s7jH,Update assembly-notes-ACTIVE.md,MERGED,2024-09-06T19:47:19Z,2024-09-06T19:48:33Z,2024-09-06T19:48:33Z,2024-09-06T19:48:33Z,amandamarkee,https://github.com/amandamarkee/actias-luna-genome/pull/1,amandamarkee++actias-luna-genome.csv
PR_kwDOK5M2ac5jq6JT,Architecture vue url,MERGED,2024-01-10T10:52:38Z,2024-01-10T10:52:45Z,2024-01-10T10:52:45Z,2024-01-10T10:52:45Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/1,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5kALz3,Architecture vue url,MERGED,2024-01-13T13:40:35Z,2024-01-13T13:40:45Z,2024-01-13T13:40:45Z,2024-01-13T13:40:45Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/2,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5kLgje,Architecture vue url,MERGED,2024-01-16T11:24:14Z,2024-01-16T11:24:41Z,2024-01-16T11:24:41Z,2024-01-16T11:24:41Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/3,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5kLhPv,Design,MERGED,2024-01-16T11:25:39Z,2024-01-16T11:26:36Z,2024-01-16T11:26:36Z,2024-01-16T11:26:36Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/4,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5kLjvs,get design,MERGED,2024-01-16T11:30:52Z,2024-01-16T11:30:58Z,2024-01-16T11:30:57Z,2024-01-16T11:30:57Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/5,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5kLj-T,get views,MERGED,2024-01-16T11:31:21Z,2024-01-16T11:31:29Z,2024-01-16T11:31:29Z,2024-01-16T11:31:29Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/6,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5kSeyE,Design,MERGED,2024-01-17T09:06:36Z,2024-01-17T09:06:45Z,2024-01-17T09:06:45Z,2024-01-17T09:06:45Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/7,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5kcPK4,Design,MERGED,2024-01-18T16:00:08Z,2024-01-18T16:00:16Z,2024-01-18T16:00:15Z,2024-01-18T16:00:15Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/8,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5kodam,Design,MERGED,2024-01-20T18:04:44Z,2024-01-20T18:04:50Z,2024-01-20T18:04:50Z,2024-01-20T18:04:50Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/9,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5kpxGC,Architecture vue url,CLOSED,2024-01-21T13:53:19Z,2024-01-21T13:54:45Z,2024-01-21T13:54:44Z,,anaellle,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/10,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5kpxSI,Architecture vue url,CLOSED,2024-01-21T13:55:41Z,2024-01-22T09:49:52Z,2024-01-22T09:49:27Z,,anaellle,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/11,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5kpxv_,Bd,MERGED,2024-01-21T14:01:54Z,2024-01-21T14:02:18Z,2024-01-21T14:02:17Z,2024-01-21T14:02:17Z,anaellle,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/12,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5ks0Yl,essai merge blast,MERGED,2024-01-22T09:51:45Z,2024-01-22T10:07:18Z,2024-01-22T10:07:18Z,2024-01-22T10:07:18Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/13,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5ks8wZ,Merge pull request #13 from anaellle/architectureVueURL,MERGED,2024-01-22T10:11:02Z,2024-01-22T10:11:09Z,2024-01-22T10:11:09Z,2024-01-22T10:11:09Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/14,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5ktH4U,get blast,MERGED,2024-01-22T10:37:41Z,2024-01-22T10:37:47Z,2024-01-22T10:37:47Z,2024-01-22T10:37:47Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/15,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5k2JVG,main to bd,MERGED,2024-01-23T14:50:03Z,2024-01-23T14:50:21Z,2024-01-23T14:50:21Z,2024-01-23T14:50:21Z,anaellle,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/16,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5k2ucI,Architecture vue url,MERGED,2024-01-23T16:06:52Z,2024-01-23T16:07:09Z,2024-01-23T16:07:09Z,2024-01-23T16:07:09Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/17,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5lJID_,form filter,MERGED,2024-01-26T09:41:41Z,2024-01-26T09:42:22Z,2024-01-26T09:42:22Z,2024-01-26T09:42:22Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/18,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5lOrVj,Architecture vue url,MERGED,2024-01-27T15:34:50Z,2024-01-27T15:34:56Z,2024-01-27T15:34:56Z,2024-01-27T15:34:56Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/19,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5lOrXR,get all,MERGED,2024-01-27T15:35:16Z,2024-01-27T15:35:37Z,2024-01-27T15:35:36Z,2024-01-27T15:35:36Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/20,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5lOzQc,Design,MERGED,2024-01-27T16:59:43Z,2024-01-27T16:59:49Z,2024-01-27T16:59:49Z,2024-01-27T16:59:49Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/21,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5lOzTL,disabled +blast,MERGED,2024-01-27T17:00:21Z,2024-01-27T17:00:29Z,2024-01-27T17:00:29Z,2024-01-27T17:00:29Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/22,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5lQGXs,Bd,CLOSED,2024-01-28T09:54:51Z,2024-01-28T10:11:15Z,2024-01-28T10:11:15Z,,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/23,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5lQHtT,Bd,MERGED,2024-01-28T10:11:45Z,2024-01-28T10:12:07Z,2024-01-28T10:12:06Z,2024-01-28T10:12:06Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/24,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5lQHwP,get bd,MERGED,2024-01-28T10:12:24Z,2024-01-28T10:12:30Z,2024-01-28T10:12:30Z,2024-01-28T10:12:30Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/25,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5lQfoc,Fusion de main dans la branche BD,MERGED,2024-01-28T14:50:23Z,2024-01-28T14:54:51Z,2024-01-28T14:54:51Z,2024-01-28T14:54:50Z,emlinebruyere,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/26,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5lQvU7,Architecture vue url,MERGED,2024-01-28T17:58:45Z,2024-01-28T17:58:52Z,2024-01-28T17:58:52Z,2024-01-28T17:58:52Z,Elora-V,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/27,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5lRQwh,Merge of BD branch in main (add of CustomUser),MERGED,2024-01-29T00:59:00Z,2024-01-29T01:01:56Z,2024-01-29T01:01:56Z,2024-01-29T01:01:56Z,emlinebruyere,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/28,anaellle++ProjWeb_GenomeAnnot.csv
PR_kwDOK5M2ac5lRRq3,Merge main in BD (pull request #28),MERGED,2024-01-29T01:04:28Z,2024-01-29T01:04:50Z,2024-01-29T01:04:49Z,2024-01-29T01:04:49Z,emlinebruyere,https://github.com/anaellle/ProjWeb_GenomeAnnot/pull/29,anaellle++ProjWeb_GenomeAnnot.csv
