repo_owner,repo_name,contributor_login,contributions,login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,user_view_type,site_admin,contributions.1,file_name
1205lixuan,Saccharomyces-genome-annotation-pipeline,1205lixuan,10,1205lixuan,126147569,U_kgDOB4Tb8Q,https://avatars.githubusercontent.com/u/126147569?v=4,,https://api.github.com/users/1205lixuan,https://github.com/1205lixuan,https://api.github.com/users/1205lixuan/followers,https://api.github.com/users/1205lixuan/following{/other_user},https://api.github.com/users/1205lixuan/gists{/gist_id},https://api.github.com/users/1205lixuan/starred{/owner}{/repo},https://api.github.com/users/1205lixuan/subscriptions,https://api.github.com/users/1205lixuan/orgs,https://api.github.com/users/1205lixuan/repos,https://api.github.com/users/1205lixuan/events{/privacy},https://api.github.com/users/1205lixuan/received_events,User,public,False,10,1205lixuan++Saccharomyces-genome-annotation-pipeline.csv
14zac2,WoodchuckGenomeAnnotation,14zac2,47,14zac2,41270914,MDQ6VXNlcjQxMjcwOTE0,https://avatars.githubusercontent.com/u/41270914?v=4,,https://api.github.com/users/14zac2,https://github.com/14zac2,https://api.github.com/users/14zac2/followers,https://api.github.com/users/14zac2/following{/other_user},https://api.github.com/users/14zac2/gists{/gist_id},https://api.github.com/users/14zac2/starred{/owner}{/repo},https://api.github.com/users/14zac2/subscriptions,https://api.github.com/users/14zac2/orgs,https://api.github.com/users/14zac2/repos,https://api.github.com/users/14zac2/events{/privacy},https://api.github.com/users/14zac2/received_events,User,public,False,47,14zac2++WoodchuckGenomeAnnotation.csv
1KFG,annotate_genomes,hyphaltip,16,hyphaltip,48827,MDQ6VXNlcjQ4ODI3,https://avatars.githubusercontent.com/u/48827?v=4,,https://api.github.com/users/hyphaltip,https://github.com/hyphaltip,https://api.github.com/users/hyphaltip/followers,https://api.github.com/users/hyphaltip/following{/other_user},https://api.github.com/users/hyphaltip/gists{/gist_id},https://api.github.com/users/hyphaltip/starred{/owner}{/repo},https://api.github.com/users/hyphaltip/subscriptions,https://api.github.com/users/hyphaltip/orgs,https://api.github.com/users/hyphaltip/repos,https://api.github.com/users/hyphaltip/events{/privacy},https://api.github.com/users/hyphaltip/received_events,User,public,False,16,1KFG++annotate_genomes.csv
aa3718,GenomeAnnotation,aa3718,3,aa3718,47151907,MDQ6VXNlcjQ3MTUxOTA3,https://avatars.githubusercontent.com/u/47151907?v=4,,https://api.github.com/users/aa3718,https://github.com/aa3718,https://api.github.com/users/aa3718/followers,https://api.github.com/users/aa3718/following{/other_user},https://api.github.com/users/aa3718/gists{/gist_id},https://api.github.com/users/aa3718/starred{/owner}{/repo},https://api.github.com/users/aa3718/subscriptions,https://api.github.com/users/aa3718/orgs,https://api.github.com/users/aa3718/repos,https://api.github.com/users/aa3718/events{/privacy},https://api.github.com/users/aa3718/received_events,User,public,False,3,aa3718++GenomeAnnotation.csv
aalinebini,Annotation-genome,aalinebini,2,aalinebini,34129097,MDQ6VXNlcjM0MTI5MDk3,https://avatars.githubusercontent.com/u/34129097?v=4,,https://api.github.com/users/aalinebini,https://github.com/aalinebini,https://api.github.com/users/aalinebini/followers,https://api.github.com/users/aalinebini/following{/other_user},https://api.github.com/users/aalinebini/gists{/gist_id},https://api.github.com/users/aalinebini/starred{/owner}{/repo},https://api.github.com/users/aalinebini/subscriptions,https://api.github.com/users/aalinebini/orgs,https://api.github.com/users/aalinebini/repos,https://api.github.com/users/aalinebini/events{/privacy},https://api.github.com/users/aalinebini/received_events,User,public,False,2,aalinebini++Annotation-genome.csv
AaronFeller,GenomeAnnotation,AaronFeller,2,AaronFeller,14959142,MDQ6VXNlcjE0OTU5MTQy,https://avatars.githubusercontent.com/u/14959142?v=4,,https://api.github.com/users/AaronFeller,https://github.com/AaronFeller,https://api.github.com/users/AaronFeller/followers,https://api.github.com/users/AaronFeller/following{/other_user},https://api.github.com/users/AaronFeller/gists{/gist_id},https://api.github.com/users/AaronFeller/starred{/owner}{/repo},https://api.github.com/users/AaronFeller/subscriptions,https://api.github.com/users/AaronFeller/orgs,https://api.github.com/users/AaronFeller/repos,https://api.github.com/users/AaronFeller/events{/privacy},https://api.github.com/users/AaronFeller/received_events,User,public,False,2,AaronFeller++GenomeAnnotation.csv
Abazaidea,Week-5-genome-annotation-,Abazaidea,5,Abazaidea,182642555,U_kgDOCuLnew,https://avatars.githubusercontent.com/u/182642555?v=4,,https://api.github.com/users/Abazaidea,https://github.com/Abazaidea,https://api.github.com/users/Abazaidea/followers,https://api.github.com/users/Abazaidea/following{/other_user},https://api.github.com/users/Abazaidea/gists{/gist_id},https://api.github.com/users/Abazaidea/starred{/owner}{/repo},https://api.github.com/users/Abazaidea/subscriptions,https://api.github.com/users/Abazaidea/orgs,https://api.github.com/users/Abazaidea/repos,https://api.github.com/users/Abazaidea/events{/privacy},https://api.github.com/users/Abazaidea/received_events,User,public,False,5,Abazaidea++Week-5-genome-annotation-.csv
ACSoupir,Simple-Genome-Mining,ACSoupir,6,ACSoupir,34483643,MDQ6VXNlcjM0NDgzNjQz,https://avatars.githubusercontent.com/u/34483643?v=4,,https://api.github.com/users/ACSoupir,https://github.com/ACSoupir,https://api.github.com/users/ACSoupir/followers,https://api.github.com/users/ACSoupir/following{/other_user},https://api.github.com/users/ACSoupir/gists{/gist_id},https://api.github.com/users/ACSoupir/starred{/owner}{/repo},https://api.github.com/users/ACSoupir/subscriptions,https://api.github.com/users/ACSoupir/orgs,https://api.github.com/users/ACSoupir/repos,https://api.github.com/users/ACSoupir/events{/privacy},https://api.github.com/users/ACSoupir/received_events,User,public,False,6,ACSoupir++Simple-Genome-Mining.csv
Aditya-Upa,Genome-annotation-Py-scripts,Aditya-Upa,3,Aditya-Upa,83017903,MDQ6VXNlcjgzMDE3OTAz,https://avatars.githubusercontent.com/u/83017903?v=4,,https://api.github.com/users/Aditya-Upa,https://github.com/Aditya-Upa,https://api.github.com/users/Aditya-Upa/followers,https://api.github.com/users/Aditya-Upa/following{/other_user},https://api.github.com/users/Aditya-Upa/gists{/gist_id},https://api.github.com/users/Aditya-Upa/starred{/owner}{/repo},https://api.github.com/users/Aditya-Upa/subscriptions,https://api.github.com/users/Aditya-Upa/orgs,https://api.github.com/users/Aditya-Upa/repos,https://api.github.com/users/Aditya-Upa/events{/privacy},https://api.github.com/users/Aditya-Upa/received_events,User,public,False,3,Aditya-Upa++Genome-annotation-Py-scripts.csv
adriaenssens-lab,phage-genomics,adriaenssens-lab,4,adriaenssens-lab,67948073,MDQ6VXNlcjY3OTQ4MDcz,https://avatars.githubusercontent.com/u/67948073?v=4,,https://api.github.com/users/adriaenssens-lab,https://github.com/adriaenssens-lab,https://api.github.com/users/adriaenssens-lab/followers,https://api.github.com/users/adriaenssens-lab/following{/other_user},https://api.github.com/users/adriaenssens-lab/gists{/gist_id},https://api.github.com/users/adriaenssens-lab/starred{/owner}{/repo},https://api.github.com/users/adriaenssens-lab/subscriptions,https://api.github.com/users/adriaenssens-lab/orgs,https://api.github.com/users/adriaenssens-lab/repos,https://api.github.com/users/adriaenssens-lab/events{/privacy},https://api.github.com/users/adriaenssens-lab/received_events,User,public,False,4,adriaenssens-lab++phage-genomics.csv
