pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
PR_kwDOJ6wNw85aIumg,create pull + merge,MERGED,2023-09-12T14:24:25Z,2023-09-12T15:58:47Z,2023-09-12T14:26:18Z,2023-09-12T14:26:18Z,AndreaMariani-AM,https://github.com/DavideBrex/SpikeFlow/pull/1
PR_kwDOJ6wNw85as5ST,feat: Add spike alignment and filtering,MERGED,2023-09-19T17:21:02Z,2023-09-20T13:19:32Z,2023-09-20T13:19:32Z,2023-09-20T13:19:32Z,DavideBrex,https://github.com/DavideBrex/SpikeFlow/pull/2
PR_kwDOJ6wNw85cGOZK,feat: added spike in alignment and bigwigs file creation,MERGED,2023-10-06T11:05:39Z,2023-10-09T12:07:30Z,2023-10-09T12:07:30Z,2023-10-09T12:07:30Z,DavideBrex,https://github.com/DavideBrex/SpikeFlow/pull/3
PR_kwDOJ6wNw85cQcJ4,chore(main): release 1.0.0,CLOSED,2023-10-09T13:00:21Z,2023-12-13T18:42:43Z,2023-12-13T18:42:30Z,,github-actions,https://github.com/DavideBrex/SpikeFlow/pull/4
PR_kwDOJ6wNw85dv50F,feat: added peak calling ,MERGED,2023-10-25T12:27:33Z,2023-10-27T09:45:09Z,2023-10-25T17:59:10Z,2023-10-25T17:59:10Z,DavideBrex,https://github.com/DavideBrex/SpikeFlow/pull/5
PR_kwDOJ6wNw85fmp8W,feat: QC,MERGED,2023-11-16T08:56:11Z,2023-11-22T19:22:35Z,2023-11-22T19:19:47Z,2023-11-22T19:19:47Z,DavideBrex,https://github.com/DavideBrex/SpikeFlow/pull/6
PR_kwDOJ6wNw85hUX9a,feat: added rep peaks merge and peak annototation,MERGED,2023-12-06T15:26:55Z,2023-12-06T17:54:29Z,2023-12-06T17:54:15Z,2023-12-06T17:54:15Z,DavideBrex,https://github.com/DavideBrex/SpikeFlow/pull/7
PR_kwDOJ6wNw85h4eXc,chore(main): release 1.0.0,MERGED,2023-12-13T10:47:06Z,2024-01-17T22:27:54Z,2024-01-17T22:27:37Z,2024-01-17T22:27:37Z,github-actions,https://github.com/DavideBrex/SpikeFlow/pull/8
PR_kwDOJ6wNw85kwN-C,fix: changed  genome download,MERGED,2024-01-22T18:34:17Z,2024-01-23T16:40:40Z,2024-01-22T20:07:43Z,2024-01-22T20:07:43Z,DavideBrex,https://github.com/DavideBrex/SpikeFlow/pull/9
PR_kwDOJ6wNw85kwvZp,chore(main): release 1.0.1,MERGED,2024-01-22T20:08:06Z,2024-01-23T08:00:29Z,2024-01-23T08:00:14Z,2024-01-23T08:00:14Z,github-actions,https://github.com/DavideBrex/SpikeFlow/pull/10
PR_kwDOJ6wNw85k-FfM,fix: fixed check for user bowtie index,MERGED,2024-01-24T16:04:13Z,2024-01-24T17:18:34Z,2024-01-24T17:14:11Z,2024-01-24T17:14:11Z,DavideBrex,https://github.com/DavideBrex/SpikeFlow/pull/11
PR_kwDOJ6wNw85k-jbI,chore(main): release 1.0.2,MERGED,2024-01-24T17:14:34Z,2024-01-24T17:15:18Z,2024-01-24T17:15:01Z,2024-01-24T17:15:01Z,github-actions,https://github.com/DavideBrex/SpikeFlow/pull/12
PR_kwDOJ6wNw85nfw6i,feat: changed docs,MERGED,2024-02-21T09:36:18Z,2024-02-21T15:21:02Z,2024-02-21T10:14:13Z,2024-02-21T10:14:13Z,DavideBrex,https://github.com/DavideBrex/SpikeFlow/pull/13
PR_kwDOJ6wNw85ngFf9,chore(main): release 1.1.0,MERGED,2024-02-21T10:14:39Z,2024-02-21T10:16:03Z,2024-02-21T10:15:37Z,2024-02-21T10:15:37Z,github-actions,https://github.com/DavideBrex/SpikeFlow/pull/14
PR_kwDOJ6wNw85xS9Wp,feat: BREAKING CHANGE added diff peak analysis ,MERGED,2024-06-03T12:50:44Z,2024-06-04T13:06:37Z,2024-06-04T13:06:36Z,2024-06-04T13:06:36Z,DavideBrex,https://github.com/DavideBrex/SpikeFlow/pull/15
PR_kwDOJ6wNw85xbOGK,chore(main): release 1.2.0,MERGED,2024-06-04T13:07:02Z,2024-06-04T13:56:20Z,2024-06-04T13:55:58Z,2024-06-04T13:55:58Z,github-actions,https://github.com/DavideBrex/SpikeFlow/pull/16
PR_kwDOJ6wNw85zEavm,fix: changed config readme,MERGED,2024-06-20T12:44:31Z,2024-06-20T13:21:33Z,2024-06-20T13:21:33Z,2024-06-20T13:21:33Z,DavideBrex,https://github.com/DavideBrex/SpikeFlow/pull/17
PR_kwDOJ6wNw85zEtn0,chore(main): release 1.2.1,MERGED,2024-06-20T13:21:53Z,2024-06-20T14:02:55Z,2024-06-20T14:02:40Z,2024-06-20T14:02:40Z,github-actions,https://github.com/DavideBrex/SpikeFlow/pull/18
PR_kwDOJ6wNw8562tMu,chore(main): release 2.0.0,CLOSED,2024-09-09T13:42:19Z,2024-09-09T13:51:43Z,2024-09-09T13:51:32Z,,github-actions,https://github.com/DavideBrex/SpikeFlow/pull/20
PR_kwDOJ6wNw85622y8,chore(main): release 1.3.0,MERGED,2024-09-09T13:58:58Z,2024-09-09T14:48:58Z,2024-09-09T14:48:37Z,2024-09-09T14:48:37Z,github-actions,https://github.com/DavideBrex/SpikeFlow/pull/21
