|                            Search Query                             |                                      Repository Name                                      |                                              full_name                                               |                                                           URL                                                           |                                                                                                                                                                                           Description                                                                                                                                                                                            |   Stars |   Forks |     Language     |   Issues |      Created At      |      Updated At      |  Default Branch  |                                                                                  License                                                                                  |                                                                                                                               Topics                                                                                                                                |  Private  |
|:-------------------------------------------------------------------:|:-----------------------------------------------------------------------------------------:|:----------------------------------------------------------------------------------------------------:|:-----------------------------------------------------------------------------------------------------------------------:|:------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------:|--------:|--------:|:----------------:|---------:|:--------------------:|:--------------------:|:----------------:|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------:|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------:|:---------:|
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                          Genome                                           |                                          loganwright/Genome                                          |                                          https://github.com/loganwright/Genome                                          |                                                                                                                                         A simple, type safe, failure driven mapping library for serializing JSON to models in Swift 3.0 (Supports Linux)                                                                                                                                         |     762 |      58 |      Swift       |       15 | 2015-04-19T01:46:05Z | 2024-03-05T20:48:16Z |      master      |                   {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                    |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                        GenomeWorks                                        |                                 NVIDIA-Genomics-Research/GenomeWorks                                 |                                 https://github.com/NVIDIA-Genomics-Research/GenomeWorks                                 |                                                                                                                                                                       SDK for GPU accelerated genome assembly and analysis                                                                                                                                                                       |     286 |      76 |       Cuda       |       75 | 2019-05-31T18:14:14Z | 2024-11-23T22:22:46Z |       dev        |     {'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}      |                                                                            ['alignment', 'cuda', 'genomics', 'gpu', 'mapping', 'nvidia', 'partial-order-alignment', 'poa', 'python-api']                                                                            |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                       mmtf-genomics                                       |                                        sbl-sdsc/mmtf-genomics                                        |                                        https://github.com/sbl-sdsc/mmtf-genomics                                        |                                                                                                                                                                   Methods for mapping genomic data onto 3D protein structure.                                                                                                                                                                    |      28 |      10 | Jupyter Notebook |        0 | 2018-08-14T06:48:16Z | 2024-11-06T08:58:12Z |      master      |     {'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}      |                       ['binder', 'cyverse', 'dbsnp', 'genomics', 'mmtf-pyspark', 'mutations', 'protein-data-bank', 'protein-drug-interactions', 'protein-ligand-interactions', 'protein-protein-interaction', 'protein-structure', 'pyspark']                       |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                      Genome-on-Diet                                       |                                      CMU-SAFARI/Genome-on-Diet                                       |                                      https://github.com/CMU-SAFARI/Genome-on-Diet                                       |                             Genome-on-Diet is a fast and memory-frugal framework for exemplifying sparsified genomics for read mapping, containment search, and metagenomic profiling. It is much faster & more memory-efficient than minimap2 for Illumina, HiFi, and ONT reads. Described by Alser et al. (preliminary version: https://arxiv.org/abs/2211.08157).                             |      11 |       4 |       Roff       |        0 | 2022-07-06T19:01:04Z | 2024-09-04T04:43:04Z |       main       |                   {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                    | ['bioinformatics', 'containment-search', 'genome-analysis', 'genome-on-diet', 'genomics', 'large-scale', 'metagenomic-analysis', 'metagenomics', 'microbiome-analysis', 'minimap2', 'read-mapping', 'sequence-alignment', 'variant-calling', 'wavefront-alignment'] |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                        genomeview                                         |                                        GenomeView/genomeview                                         |                                        https://github.com/GenomeView/genomeview                                         |                                                GenomeView is a stand-alone genome browser and editor. It provides interactive visualization of sequences, annotation, multiple alignments, syntenic mappings, short read alignments and more. Many standard file formats are supported and new functionality can be added using a plugin system.                                                 |       8 |       2 |       Java       |        4 | 2016-02-16T19:28:13Z | 2024-11-08T07:31:30Z |      master      |   {'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}    |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                   rDNA-Mapping-Genomes                                    |                                 vikramparalkar/rDNA-Mapping-Genomes                                  |                                 https://github.com/vikramparalkar/rDNA-Mapping-Genomes                                  |                                                                                                                                                                  Human and mouse genome assemblies customized for rDNA mapping                                                                                                                                                                   |       8 |       0 |                  |        2 | 2022-10-06T15:32:53Z | 2024-10-09T19:09:09Z |       main       |                                                                                                                                                                           |                                                               ['epigenetics', 'genome-annotation', 'genome-assembly', 'genome-visualization', 'rdna', 'repetitive-dna', 'ribosome', 'transcription']                                                                |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                    pan_genome_scripts                                     |                               AppliedBioinformatics/pan_genome_scripts                               |                               https://github.com/AppliedBioinformatics/pan_genome_scripts                               |                                                                                                          Python scripts for constructing pangenomes using the iterative mapping style for the Bioinformatics Methods chapter: Making a Pan genome using the iterative mapping approach                                                                                                           |       4 |       2 |      Python      |        0 | 2020-07-29T03:46:30Z | 2023-08-03T09:38:54Z |      master      |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                      genomes_mapping                                      |                                    VladimirShitov/genomes_mapping                                    |                                    https://github.com/VladimirShitov/genomes_mapping                                    |                                                                                                                                                                         Project for mapping genomes of Escherichia coli.                                                                                                                                                                         |       4 |       0 |      Python      |        0 | 2019-08-20T06:05:50Z | 2023-12-21T12:31:42Z |      master      |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                        ai_genomics                                        |                                         nestauk/ai_genomics                                          |                                         https://github.com/nestauk/ai_genomics                                          |                                                                                                                                                             Open-source code for innovation mapping of the AI in genomics landscape                                                                                                                                                              |       3 |       0 |      Python      |       52 | 2022-03-20T13:48:41Z | 2024-03-03T08:57:34Z |       dev        |                   {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                    |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                     consensus2genome                                      |                                      clemgoub/consensus2genome                                       |                                      https://github.com/clemgoub/consensus2genome                                       |                                                                                                                                                 [DEPRECATED] R function that blast any TE consensus to reference genome and output mapping graph                                                                                                                                                 |       3 |       0 |        R         |        0 | 2017-10-23T03:48:49Z | 2021-04-29T15:49:01Z |      master      |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                  Personal_genome_mapping                                  |                                    oursu/Personal_genome_mapping                                     |                                    https://github.com/oursu/Personal_genome_mapping                                     |                                                                                                                                                             Code for mapping DNA and RNA to personal genomes, compatible with scg3.                                                                                                                                                              |       2 |       3 |       C++        |        0 | 2014-07-15T08:40:49Z | 2019-05-23T19:44:59Z |      master      |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                     GenomicsPipeline                                      |                                     MBaysanLab/GenomicsPipeline                                      |                                     https://github.com/MBaysanLab/GenomicsPipeline                                      |                                                                                                                                                                   Genomic Pipelines (Mapping + Variant Calling) from NGS Data                                                                                                                                                                    |       2 |       2 |      Python      |        2 | 2018-06-25T16:06:48Z | 2021-03-08T17:47:31Z |      master      |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                             Genome-wide-association-mapping-                              |                               EGjika/Genome-wide-association-mapping-                                |                               https://github.com/EGjika/Genome-wide-association-mapping-                                |                                                                                                                                                                         An analysis using R libraries  for genomic data                                                                                                                                                                          |       2 |       0 |                  |        0 | 2022-11-18T02:42:27Z | 2024-02-18T06:41:30Z |       main       |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                              Genomic-Resistance-Mapping-GRM-                              |                               editnori/Genomic-Resistance-Mapping-GRM-                               |                               https://github.com/editnori/Genomic-Resistance-Mapping-GRM-                               |                                                                                                                                                                                                                                                                                                                                                                                                  |       2 |       0 |      Python      |       43 | 2024-01-11T22:39:17Z | 2024-08-12T21:29:17Z |       main       |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |    Java-Design-and-development-of-peptide-mutation-genome-mapping-file-generation-tool    |    qujia1998/Java-Design-and-development-of-peptide-mutation-genome-mapping-file-generation-tool     |    https://github.com/qujia1998/Java-Design-and-development-of-peptide-mutation-genome-mapping-file-generation-tool     |                                                                                                                                                                                               tool                                                                                                                                                                                               |       2 |       1 |                  |        0 | 2020-05-29T03:50:00Z | 2022-08-22T15:33:08Z |      master      |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                       multi-genome                                        |                                      lizramirezcar/multi-genome                                      |                                      https://github.com/lizramirezcar/multi-genome                                      |                                                                                                                                                                                 Mapping, snps calling, phylogeny                                                                                                                                                                                 |       1 |       2 |      Shell       |        0 | 2019-10-01T02:55:23Z | 2021-03-18T15:51:23Z |      master      |                                                                                                                                                                           |                                                                                      ['bacterial-genomes', 'bioinformatics', 'ngs', 'phylogenetic-trees', 'resistome', 'snps']                                                                                      |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                       louse_genomes                                       |                                        adsweet/louse_genomes                                         |                                        https://github.com/adsweet/louse_genomes                                         |                                                                                                                                                                        Scripts for assembling and mapping louse genomes.                                                                                                                                                                         |       1 |       2 |      Shell       |        0 | 2017-04-04T22:32:16Z | 2022-06-16T01:42:39Z |      master      |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                      genome-mapping                                       |                                      RNAcentral/genome-mapping                                       |                                      https://github.com/RNAcentral/genome-mapping                                       |                                                                                                                                                                    Initial work to determine how to map sequences to genomes                                                                                                                                                                     |       1 |       0 |      Python      |        0 | 2017-01-30T12:27:28Z | 2023-01-28T07:16:21Z |      master      |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                    Genome-Mapping-in-C                                    |                                 ahmetbugrayasar/Genome-Mapping-in-C                                  |                                 https://github.com/ahmetbugrayasar/Genome-Mapping-in-C                                  |                                                                                                                                                                                                                                                                                                                                                                                                  |       1 |       0 |        C         |        0 | 2022-12-22T21:30:02Z | 2022-12-22T21:50:31Z |       main       |     {'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}      |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                             Read-mapping-and-genome-assembly                              |                             FereshtehNo/Read-mapping-and-genome-assembly                             |                             https://github.com/FereshtehNo/Read-mapping-and-genome-assembly                             |                                                                                                     In this project, we will learn how to analyze short-read and long-read sequencing data, perform quality control, create genome assemblies, and conduct read mapping and variant calling.                                                                                                     |       1 |       0 |        R         |        0 | 2023-10-14T11:23:20Z | 2024-05-25T08:35:34Z |       main       |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                   FPGA-Genome-Alignment                                   |                                     knodel/FPGA-Genome-Alignment                                     |                                     https://github.com/knodel/FPGA-Genome-Alignment                                     |                                                                                                                                                                  Next-generation massively parallel short-read mapping on FPGAs                                                                                                                                                                  |       1 |       0 |       VHDL       |        0 | 2019-07-12T16:53:39Z | 2021-08-10T10:35:16Z |      master      |                   {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                    |                                                                                                                    ['alignment', 'fpga', 'vhdl']                                                                                                                    |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |            Read-Mapping-and-Genome-Assembly-An-Introduction-to-Bioinformatics             |         maryamhosseinali1/Read-Mapping-and-Genome-Assembly-An-Introduction-to-Bioinformatics         |         https://github.com/maryamhosseinali1/Read-Mapping-and-Genome-Assembly-An-Introduction-to-Bioinformatics         |                          This project explores essential bioinformatics workflows like read mapping, quality control, and genome assembly. Using tools like SRA Toolkit, FastQC, SPAdes, and BWA, I analyzed E. coli sequencing data step-by-step. Developed for my "Introduction to Bioinformatics" course, it provided hands-on experience in genomic data analysis.                           |       1 |       0 |       HTML       |        0 | 2024-10-02T18:51:10Z | 2024-11-05T18:24:29Z |       main       |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                           T.dalmanni_Genomics_of_meiotic_drive                            |                            alexjvr1/T.dalmanni_Genomics_of_meiotic_drive                             |                            https://github.com/alexjvr1/T.dalmanni_Genomics_of_meiotic_drive                             |                                                                                                                                                         Mapping the genomic variants associated with meiotic drive in Teleopsis dalmanni                                                                                                                                                         |       1 |       0 |      Shell       |        3 | 2022-08-15T11:05:59Z | 2024-05-28T10:23:59Z |       main       |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                   GenomicsDataAnalysis                                    |                                    Ibisanmi1/GenomicsDataAnalysis                                    |                                    https://github.com/Ibisanmi1/GenomicsDataAnalysis                                    |                                                        Metagenomics applied to surveillance of pathogens and antimicrobial resistance. The project involved Quality control of raw data, Mapping, Trimming, analysis of genomics data, interpretation of metagenomics result, Analysis of metagenomics results in a surveillance context.                                                        |       1 |       0 |        R         |        0 | 2023-04-08T08:08:20Z | 2024-07-01T05:17:00Z |       main       |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                     MapVCF2NewGenome                                      |                                   KrisChristensen/MapVCF2NewGenome                                   |                                   https://github.com/KrisChristensen/MapVCF2NewGenome                                   | A pipeline for mapping SNPs in a VCF file to a genome that wasn't used to call the variants.  It is expected that this strategy could be used for mapping VCF files to an updated genome assembly or for mapping to another closely related species' genome (to be able to directly compare nucleotide variants).  Right now this only works for SNPs, but could be modified for other variants. |       1 |       0 |      Python      |        1 | 2021-05-15T18:39:51Z | 2022-09-29T20:09:11Z |       main       |                   {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                    |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                       GenomeMapping                                       |                                        mingzhi/GenomeMapping                                         |                                        https://github.com/mingzhi/GenomeMapping                                         |                                                                                                                                                                                                                                                                                                                                                                                                  |       0 |       0 |      Python      |        0 | 2017-01-03T19:47:47Z | 2017-01-03T19:48:15Z |      master      |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                       GenomeMapping                                       |                                 BernardoChomboAlvarez/GenomeMapping                                  |                                 https://github.com/BernardoChomboAlvarez/GenomeMapping                                  |                                                                                        This project aims to look for the mendelian disease-associated mutations in the  human genome (GRCh83.p14 assembly), specifically if those mutations fall inside a  coding, intergenic, intronic or exonic region.                                                                                        |       0 |       0 |       HTML       |        0 | 2024-04-16T17:18:20Z | 2024-04-16T17:54:24Z |      master      |     {'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}      |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                              Tuberculosis_Ref-GenomeMapping                               |                               stephwon/Tuberculosis_Ref-GenomeMapping                                |                               https://github.com/stephwon/Tuberculosis_Ref-GenomeMapping                                |                                                                                                                                                                                                                                                                                                                                                                                                  |       0 |       0 | Jupyter Notebook |        0 | 2023-03-28T00:57:25Z | 2024-04-15T17:07:39Z |       main       |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                      genome-mapping-                                      |                                       bkrotich/genome-mapping-                                       |                                       https://github.com/bkrotich/genome-mapping-                                       |                                                                                                                                                                                          genome mapping                                                                                                                                                                                          |       0 |       0 |                  |        0 | 2024-11-16T18:06:21Z | 2024-11-16T18:06:21Z |       main       |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
| {'q': 'genom mapping', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                      genomes_mapping                                      |                                      mkirsch17/genomes_mapping                                       |                                      https://github.com/mkirsch17/genomes_mapping                                       |                                                                                                                                                                 Project for creating a total list of genes for a given organism.                                                                                                                                                                 |       0 |       0 |      Python      |        0 | 2019-12-10T03:04:11Z | 2019-12-17T03:38:20Z |      master      |                                                                                                                                                                           |                                                                                                                                 []                                                                                                                                  |   False   |
